name,sex,vowel,stress,pre_word,word,fol_word,F1,F2,F3,F1_lobnorm_unscaled,F2_lobnorm_unscaled,F1_lobnorm_scaled,F2_lobnorm_scaled,B1,B2,B3,t,beg,end,dur,plt_vclass,plt_manner,plt_manner_prob,plt_place,plt_place_prob,plt_voice,plt_voice_prob,plt_preseg,plt_folseq,pre_seg,fol_seg,context,vowel_index,pre_word_trans,word_trans,fol_word_trans,F1@20%,F2@20%,F1@35%,F2@35%,F1@50%,F2@50%,F1@65%,F2@65%,F1@80%,F2@80%,nFormants
AR_speakers,M,EH,1,SIL,YES,MY,407.9,2159.1,2826.4,-1.07573495769,1.35599678122,331.205045346,1774.6546899,49.8,296.6,253.5,2.04,1.96,2.2,0.24,e,fricative,0.697183470168,apical,0.524401567576,voiceless,0.917005754868,w/y,,Y,S,internal,2,SIL,Y EH1 S,M AY1,353.0,2274.9,398.8,2173.9,527.0,1966.7,626.4,1756.2,622.5,1739.8,4
AR_speakers,M,EY,1,MY,NAME'S,ABDULLAH,508.0,2266.0,3035.3,-0.292663787834,1.6262574312,383.37850516,1842.20908188,102.9,163.6,147.9,2.575,2.54,2.61,0.07,ey,nasal,0.483670540809,labial,0.569099819228,voiced,0.804951337044,nasal_apical,complex_coda,N,M,internal,2,M AY1,N EY1 M Z,AE2 B D AH1 L AH0,465.3,2236.4,480.6,2261.2,508.0,2266.0,532.7,2201.1,542.5,2177.8,3
AR_speakers,M,AE,2,NAME'S,ABDULLAH,I,660.3,1455.2,2837.0,0.898762177893,-0.423577320969,462.759303659,1329.8320845,62.9,332.8,208.9,2.833,2.79,2.92,0.13,ae,stop,0.468229149259,labial,0.713203619553,voiced,0.6034382395,,complex_two_syl,Z,B,initial,1,N EY1 M Z,AE2 B D AH1 L AH0,AY1,538.8,1578.3,639.1,1473.5,718.9,1417.7,711.6,1357.2,677.3,1277.5,4
AR_speakers,M,AH,1,NAME'S,ABDULLAH,I,606.9,1497.3,2323.5,0.481019915451,-0.317141648712,434.926508913,1356.43676086,70.7,199.3,894.5,3.093,3.06,3.16,0.1,uh,lateral,0.732796155308,apical,0.593448953103,voiced,0.469194575914,oral_apical,one_fol_syll,D,L,internal,4,N EY1 M Z,AE2 B D AH1 L AH0,AY1,547.2,1614.5,578.5,1525.2,614.8,1435.7,657.5,1348.2,681.4,1294.4,5
AR_speakers,M,AH,1,CAME,FROM,SIL,632.6,1599.5,2811.3,0.682068157862,-0.0587633659391,448.321692901,1421.02103458,39.3,188.7,177.4,4.05,4.03,4.09,0.06,uh,nasal,0.679226164746,labial,0.6153467201,voiced,0.892931173142,obstruent_liquid,,R,M,internal,3,K EY1 M,F R AH1 M,SIL,611.1,1600.2,613.4,1599.8,654.1,1614.1,674.7,1635.4,675.6,1637.1,4
AR_speakers,M,EH,1,I'M,TWENTY,SEVEN,730.1,1604.1,2504.8,1.44479981681,-0.0471338150511,499.139997915,1423.92795883,251.8,259.4,162.7,17.463,17.24,17.91,0.67,e,nasal,0.855153000885,apical,0.611852689639,voiced,0.810652319315,w/y,complex_one_syl,W,N,internal,3,AY1 M,T W EH1 N T IY0,S EH1 V AH0 N,748.6,1675.5,727.9,1576.8,677.2,1297.6,660.8,1452.4,577.2,1319.3,5
AR_speakers,M,EH,1,TWENTY,SEVEN,SIL,753.4,1668.4,2640.1,1.62707312608,0.115427081057,511.28426978,1464.56170443,148.7,202.1,188.1,18.16,18.13,18.22,0.09,e,fricative,0.773738836145,labiodental,0.837879989069,voiced,0.674993743677,oral_apical,one_fol_syll,S,V,internal,2,T W EH1 N T IY0,S EH1 V AH0 N,SIL,691.8,1552.6,734.4,1599.4,766.1,1864.6,714.1,2039.5,596.8,2043.2,4
AR_speakers,M,EH,1,SIL,YES,I'M,429.3,2019.4,2770.4,-0.908325137163,1.00281237708,342.359011779,1686.37266408,76.1,53.5,53.0,21.99,21.96,22.05,0.09,e,fricative,0.891394712302,apical,0.900246621146,voiceless,0.700162327918,w/y,,Y,S,internal,2,SIL,Y EH1 S,AY1 M,383.2,1981.0,417.1,2023.5,450.1,1983.2,452.2,1912.7,437.3,1845.8,4
AR_speakers,M,IY,1,SIL,REALLY,VERY,508.0,1835.7,2609.7,-0.292663787834,0.538388790527,383.37850516,1570.2852758,140.3,142.0,146.2,22.523,22.5,22.57,0.07,iy,lateral,0.86014396502,apical,0.514242748259,voiced,0.476391102828,liquid,one_fol_syll,R,L,internal,2,SIL,R IY1 L IY0,V EH1 R IY0,488.1,1742.3,499.2,1786.3,504.3,1897.7,499.1,1941.6,499.6,1949.9,4
AR_speakers,M,IH,0,VERY,INTERESTED,ABOUT,494.1,1554.3,2546.8,-0.40140194229,-0.17303634423,376.133639112,1392.45734405,121.4,108.7,145.9,22.96,22.94,23.0,0.06,i,fricative,0.489441391112,apical,0.501982172791,voiceless,0.723996260683,obstruent_liquid,complex_one_syl,R,S,internal,5,V EH1 R IY0,IH1 N T R IH0 S T IH0 D,AH0 B AW1 T,500.1,1541.3,499.1,1542.9,483.1,1572.1,451.4,1587.7,446.5,1588.4,4
